atom,category,finding_direction,observed_rank1_sim_mean,observed_n_strong_seeds,observed_n_weak_seeds,uniform_baseline_mean,uniform_baseline_std,shuffled_baseline_mean,shuffled_baseline_std,delta_uniform,delta_shuffled,z_score_uniform,z_score_shuffled,direction_consistency_24,true_finding_uniform,true_finding_shuffled,true_finding_both
ACT.leave,ACT,above_baseline,0.5508055910468102,24,0,0.4772113698224227,0.022272941058758704,0.4996052955587705,0.027694542731247475,0.07359422122438747,0.05120029548803967,3.30419862514955,1.8487503471314184,True,True,False,False
PRP.small,PRP,above_baseline,0.6076451117793719,24,0,0.5284209698438644,0.02341895121484288,0.5087612147132555,0.03200294212400046,0.07922414193550742,0.09888389706611633,3.3829073389629563,3.089837699389482,True,True,True,True
PER.blind,PER,above_baseline,0.5503792638580004,24,0,0.4592065376540025,0.02584461413258038,0.5582819978396097,0.02817949592096031,0.09117272620399791,-0.007902733981609344,3.5277263470172397,-0.2804427021610127,True,True,False,False
PRP.young,PRP,above_baseline,0.6182953442136446,24,0,0.48369290803869563,0.0377829496523305,0.5634771808981895,0.024625779067883005,0.134602436174949,0.05481816331545508,3.5625179456217113,2.2260478811388773,True,True,True,True
BOD.eye,BOD,above_baseline,0.6090857485930125,24,0,0.5157562295595804,0.022951880327144136,0.5364525839686394,0.039929169664201784,0.093329519033432,0.07263316462437308,4.066312550569352,1.8190502140466955,True,True,False,False
BOD.hip,BOD,above_baseline,0.6110007762908936,24,0,0.5177762644986311,0.02176232559050838,0.5145977884531021,0.03950084588135686,0.09322451179226243,0.09640298783779144,4.283756871688484,2.4405297073218013,True,True,True,True
BOD.ear,BOD,above_baseline,0.606336385011673,24,0,0.5124478178719679,0.021690506005268125,0.5450734136005243,0.040132974841349776,0.09388856713970506,0.06126297141114867,4.328555872182128,1.5264996341120531,True,True,False,False
PER.taste,PER,above_baseline,0.6273855691154798,24,0,0.5218682959675789,0.02411958101353319,0.5108480080962181,0.03534753091697306,0.10551727314790094,0.11653756101926172,4.374755643089179,3.296908100681598,True,True,True,True
TIM.appear,TIM,above_baseline,0.6018062457442284,24,0,0.47870483870307606,0.024921212345013172,0.4837829979757468,0.04399643510185873,0.1231014070411523,0.11802324776848155,4.939623535842363,2.6825638826245584,True,True,True,True
PER.hear,PER,above_baseline,0.579042449593544,24,0,0.4689214900135994,0.021209203746042016,0.5370702855288982,0.02857366323125095,0.11012095957994461,0.04197216406464577,5.192130779567573,1.468910854200203,True,True,False,False
