seed,variance,cycles,cycles_per_1k,cycle_type_count,cycle_type_entropy,top1_share,syn_count,auto_count,mean_island,max_island,coexistence_rate,island_births_per_1k,island_deaths_per_1k,mean_turnover,boundary_crossing_per_1k,rigidity_index,fert_corr_syn,fert_corr_auto,spr,X,min_links,runaway,elapsed
456,0.35,206,41.2,2,0.9753,0.5922,133,36,1.64,5,0.44,8.2,8.0,0,0.0,1.0,0.1244,-0.0708,0.1129,0.4752,166,False,28.6
55,0.35,262,52.4,2,0.9508,0.6298,157,44,1.72,3,0.56,8.6,8.0,0,0.0,1.0,-0.043,0.0927,0.1114,0.4769,155,False,28.4
7,0.35,236,47.2,2,0.9496,0.6314,144,41,2.0,4,0.64,10.0,9.4,0,0.0,1.0,-0.0219,0.2667,0.1214,0.4959,169,False,28.4
789,0.35,233,46.6,2,0.9594,0.618,140,51,1.64,4,0.52,8.2,7.6,0,0.0,1.0,0.2086,0.2486,0.1246,0.4799,164,False,28.7
999,0.35,227,45.4,2,0.9473,0.6344,131,49,1.6,4,0.48,8.0,7.2,0,0.0,1.0,0.187,-0.1026,0.1235,0.4691,172,False,28.7
123,0.5,272,54.4,2,0.9597,0.6176,152,52,1.92,6,0.52,9.6,9.2,0,0.0,1.0,0.0403,0.0053,0.1091,0.4641,180,False,26.9
1337,0.5,204,40.8,2,0.9562,0.6225,128,30,2.08,6,0.56,10.4,10.0,0,0.0,1.0,-0.0214,-0.074,0.1293,0.4717,178,False,26.5
2024,0.5,329,65.8,2,0.9513,0.6292,182,68,1.92,5,0.56,9.6,9.4,0,0.0,1.0,0.0856,0.0472,0.1228,0.4662,172,False,26.5
314,0.5,240,48.0,2,0.9377,0.6458,146,63,1.76,5,0.44,8.8,8.8,0,0.0,1.0,0.0099,-0.1622,0.1146,0.4717,170,False,26.8
42,0.5,231,46.2,2,0.9793,0.5844,136,49,2.16,5,0.6,10.8,10.4,0,0.0,1.0,0.0973,0.0774,0.121,0.4789,192,False,27.2
456,0.5,246,49.2,2,0.9567,0.622,154,44,2.12,5,0.6,10.6,10.4,0,0.0,1.0,0.122,0.0573,0.1307,0.4724,165,False,26.9
55,0.5,248,49.6,2,0.9655,0.6089,144,54,1.72,5,0.52,8.6,7.8,0,0.0,1.0,0.0162,-0.0959,0.1354,0.4858,168,False,26.8
7,0.5,275,55.0,2,0.9486,0.6327,156,56,2.28,5,0.64,11.4,11.4,0,0.0,1.0,0.0674,-0.0238,0.1134,0.4891,170,False,26.4
789,0.5,246,49.2,2,0.9567,0.622,142,58,1.96,5,0.68,9.8,8.8,0,0.0,1.0,0.2846,0.1026,0.1148,0.4653,161,False,27.1
999,0.5,201,40.2,2,0.9453,0.6368,118,44,1.4,4,0.48,7.0,6.4,0,0.0,1.0,-0.0311,0.0377,0.1199,0.4743,171,False,26.6
