window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
93,4936,3087,2,5,0,1.9884,1,166.1,3077,0,4.47,1.0127,3048.4,10,1.0,12,2,2,267,0.018672,0.1209,116.2791,67,13.4,0.0879,0.0301,2,1,0,0
94,4936,3113,1,3,3,1.9287,1,174.8,3097,0,4.5,1.0191,3054.5,16,1.0,11,5,6,275,0.017216,0.2025,214.2857,68,14.5,0.0872,0.0543,0,0,0,0
95,4935,3053,1,5,3,1.7848,2,164.4,5,3038,4.5,0.9995,3054.4,15,1.0,11,1,1,251,0.022802,0.1512,180.7229,69,14.8,0.0904,0.0359,1,1,0,0
96,4934,3012,0,0,3,1.7349,2,167.5,0,3012,4.43,0.9874,3050.3,0,1.0,10,0,1,229,0.022493,0.1875,0.0,70,17.2,0.1024,0.0452,0,0,0,0
97,4933,3004,0,0,3,1.7922,1,171.4,0,3004,4.5,0.9862,3045.9,0,1.0,10,0,0,219,0.024264,0.1471,0.0,71,18.2,0.1013,0.0261,0,0,0,0
98,4930,2986,1,4,3,1.8149,1,163.4,3,2983,4.45,0.9822,3040.2,3,1.0,9,1,2,238,0.021982,0.1404,56.6038,72,20.1,0.0987,0.0303,0,1,0,0
99,4929,3048,0,0,3,1.7395,1,175.7,3048,0,4.44,1.0023,3041.0,0,1.0,7,0,2,205,0.025705,0.1695,0.0,57,15.3,0.1215,0.0237,0,2,0,0
100,4928,3084,0,0,3,1.9183,1,166.1,3084,0,4.41,1.0128,3045.1,0,1.0,5,0,2,160,0.032959,0.2683,0.0,58,17.8,0.1805,0.0548,0,1,0,0
101,4928,2990,0,0,3,1.9261,1,166.0,0,2990,4.44,0.9836,3039.8,0,1.0,5,0,0,116,0.047831,0.3,0.0,59,18.8,0.2,0.0558,0,0,0,0
102,4928,2933,1,4,3,1.9261,1,173.7,4,2924,4.38,0.9681,3029.6,9,1.0,9,6,2,160,0.028937,0.1897,163.6364,60,11.0,0.1103,0.0431,0,0,0,0
103,4927,2968,0,0,3,1.971,1,167.1,0,2963,4.38,0.9816,3023.8,5,1.0,8,0,1,160,0.032024,0.1639,87.7193,61,13.4,0.141,0.0327,0,0,0,0
104,4927,3040,0,0,3,1.871,1,176.6,3030,0,4.48,1.0049,3025.3,10,1.0,10,5,3,180,0.024234,0.1343,161.2903,62,11.5,0.1075,0.0203,0,0,0,0
105,4927,3021,0,0,3,1.9197,1,165.7,0,3016,4.42,0.9987,3024.9,5,1.0,9,0,1,175,0.027695,0.1875,113.6364,63,13.6,0.1167,0.0386,0,0,0,0
106,4927,2980,4,5,3,1.9803,1,172.3,7,2964,4.49,0.9865,3020.6,16,1.0,13,7,3,250,0.018002,0.1429,202.7027,64,9.1,0.0935,0.0298,1,1,0,0
107,4927,2988,2,5,3,1.9926,1,163.4,7,2976,4.45,0.9902,3017.5,12,1.0,15,5,3,267,0.017413,0.1158,133.3333,65,8.2,0.0737,0.0256,1,0,0,0
108,4926,3052,1,3,3,1.9568,2,166.2,3046,0,4.43,1.0103,3020.8,6,1.0,13,2,4,250,0.018508,0.1216,74.6269,66,9.3,0.0811,0.0246,0,1,0,0
