atom,picked_count,cat
CHG.stay,33,CHG
LOG.reason,33,LOG
SOC.village,31,SOC
STA.war,30,STA
VAL.good,30,VAL
FND.history,29,FND
ABS.other,28,ABS
FND.uninformed,28,FND
PRP.impossible,25,PRP
COM.cooperate,25,COM
WLD.religion,24,WLD
FND.unchanging,24,FND
EMO.love,23,EMO
VAL.incorrect,22,VAL
FND.numberless,22,FND
ECO.loss,22,ECO
SOC.family,21,SOC
EXS.nonbeing,20,EXS
REL.same,20,REL
VAL.evil,19,VAL
SOC.nation,16,SOC
REL.different,15,REL
VAL.sacred,14,VAL
FND.timeless,13,FND
FND.information,12,FND
REL.together,8,REL
SOC.public,6,SOC
