atom_id,category,core_count,dev_count,core_ratio_pct,zero_core,thin_core,pos_n_pct,pos_v_pct,pos_adj_pct,unique_keys,unique_ratio_pct,mean_atoms_per_word,p95_atoms_per_word,generic_at_5pct,generic_at_10pct,generic_at_20pct,top1_overlap_atom,top1_overlap_count,top1_jaccard,sym_pair,sym_core_overlap
PRP.wide,PRP,25,115,17.9,False,False,28.0,0.0,64.0,15,60.0,2.0,5,0,0,0,PRP.large,6,0.048,PRP.narrow,0
PRP.young,PRP,72,692,9.4,False,False,45.8,5.6,48.6,36,50.0,1.88,4,0,0,0,BEI.child,22,0.155,PRP.aged,1
REL.alone,REL,30,14,68.2,False,False,23.3,0.0,53.3,27,90.0,1.1,2,0,0,0,COG.separate,2,0.014,REL.together,0
REL.different,REL,32,4,88.9,False,False,12.5,3.1,84.4,4,12.5,2.38,5,0,0,0,ABS.other,24,0.615,REL.same,1
REL.same,REL,64,789,7.5,False,False,50.0,26.6,23.4,32,50.0,2.12,5,0,0,0,SOC.individual,19,0.009,REL.different,1
REL.together,REL,53,42,55.8,False,False,41.5,50.9,3.8,2,3.8,2.47,5,0,0,0,COM.cooperate,48,0.696,REL.alone,0
SOC.attack,SOC,45,182,19.8,False,False,64.4,33.3,2.2,20,44.4,2.09,4,0,0,0,TIM.come,5,0.047,SOC.defend,0
SOC.awake,SOC,51,826,5.8,False,False,21.6,31.4,47.1,27,52.9,2.04,5,0,0,0,FND.consciousness,13,0.153,SOC.sleep,0
SOC.citizen,SOC,55,131,29.6,False,False,72.7,12.7,14.5,37,67.3,1.45,2,0,0,0,SOC.individual,9,0.004,SOC.official,0
SOC.city,SOC,19,26,42.2,False,False,42.1,10.5,47.4,18,94.7,1.05,2,0,0,0,SOC.citizen,1,0.014,SOC.village,0
SOC.criticize,SOC,139,132,51.3,False,False,42.4,46.0,11.5,99,71.2,1.6,4,0,0,0,COM.speak,5,0.008,SOC.praise,1
SOC.defend,SOC,91,80,53.2,False,False,48.4,40.7,11.0,45,49.5,2.08,6,0,0,0,SOC.individual,15,0.007,SOC.attack,0
SOC.family,SOC,167,3744,4.3,False,False,71.9,10.8,17.4,119,71.3,1.55,4,0,0,0,SOC.individual,19,0.009,SOC.homeless,0
SOC.homeless,SOC,651,777,45.6,False,False,69.3,27.2,3.5,9,1.4,2.92,6,0,0,0,ACT.move,633,0.493,SOC.family,0
SOC.individual,SOC,1962,5234,27.3,False,False,43.4,39.0,17.6,908,46.3,2.29,6,0,0,0,EXS.being,421,0.165,SOC.public,3
SOC.nation,SOC,142,250,36.2,False,False,75.4,13.4,11.3,95,66.9,1.76,4,0,0,0,ACT.move,9,0.006,SOC.stateless,0
SOC.obstruct,SOC,98,82,54.4,False,False,49.0,46.9,4.1,45,45.9,2.1,5,0,0,0,EMO.shame,23,0.16,SOC.pass,0
SOC.official,SOC,192,307,38.5,False,False,74.0,17.7,8.3,132,68.8,1.57,4,0,0,0,SOC.individual,22,0.01,SOC.citizen,0
SOC.pass,SOC,57,372,13.3,False,False,38.6,61.4,0.0,11,19.3,4.04,10,0,0,0,ACT.move,20,0.015,SOC.obstruct,0
SOC.praise,SOC,111,164,40.4,False,False,58.6,29.7,11.7,77,69.4,1.49,3,0,0,0,SOC.individual,7,0.003,SOC.criticize,1
SOC.public,SOC,30,77,28.0,False,False,33.3,3.3,63.3,24,80.0,1.67,7,0,0,0,SOC.individual,3,0.002,SOC.individual,3
SOC.refuse,SOC,104,155,40.2,False,False,58.7,36.5,4.8,57,54.8,1.88,5,0,0,0,FND.transformation,11,0.01,SOC.request,1
SOC.request,SOC,116,219,34.6,False,False,55.2,37.9,6.9,54,46.6,2.09,5,0,0,0,SOC.individual,17,0.008,SOC.refuse,1
SOC.rest,SOC,51,209,19.6,False,False,47.1,43.1,9.8,18,35.3,2.43,8,0,0,0,ACT.lie_down,9,0.091,SOC.work,0
SOC.sleep,SOC,44,288,13.3,False,False,43.2,11.4,43.2,31,70.5,1.66,4,0,0,0,ACT.lie_down,6,0.063,SOC.awake,0
SOC.stateless,SOC,17,18,48.6,False,False,64.7,17.6,17.6,10,58.8,1.76,4,0,0,0,SOC.homeless,7,0.011,SOC.nation,0
SOC.village,SOC,30,16,65.2,False,False,40.0,0.0,60.0,28,93.3,1.07,2,0,0,0,CHG.end,1,0.006,SOC.city,0
SOC.work,SOC,369,941,28.2,False,False,60.2,32.5,7.3,129,35.0,2.32,5,0,0,0,FND.labor,125,0.243,SOC.rest,0
SPC.direction,SPC,86,488,15.0,False,False,74.4,12.8,12.8,49,57.0,1.79,5,0,0,0,SPC.place,10,0.056,SPC.reverse,0
SPC.inside,SPC,20,70,22.2,False,False,35.0,5.0,50.0,15,75.0,1.45,6,0,0,0,VAL.incorrect,1,0.025,SPC.outside,0
SPC.nowhere,SPC,19,9,67.9,False,False,21.1,15.8,57.9,2,10.5,2.58,5,0,0,0,EXS.absence,13,0.464,SPC.place,0
SPC.outside,SPC,19,72,20.9,False,False,42.1,0.0,57.9,1,5.3,2.58,7,0,0,0,WLD.outer_realm,16,0.696,SPC.inside,0
SPC.place,SPC,104,845,11.0,False,False,40.4,32.7,26.9,41,39.4,2.45,6,0,0,0,ACT.move,14,0.01,SPC.nowhere,0
SPC.reverse,SPC,45,121,27.1,False,False,35.6,4.4,48.9,38,84.4,1.22,3,0,0,0,FND.transformation,5,0.005,SPC.direction,0
STA.comfort,STA,45,429,9.5,False,False,42.2,15.6,42.2,17,37.8,2.07,4,0,0,0,ACT.calm,10,0.083,STA.pain,0
