cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
21,31,0.8261,0.6714,0.8272,5.1538,0.6957,0.6876,0.8212,7.0075,-0.1304,0.0162,-0.006,1.8537,loss_social,1,hosted
22,31,1.0,0.6763,0.8442,19.5216,1.0,0.6464,0.8523,12.1107,0.0,-0.0298,0.0081,-7.4109,loss_familiarity,1,hosted
25,31,0.913,0.6603,0.83,16.4866,0.8696,0.6053,0.8199,15.2805,-0.0435,-0.0549,-0.0101,-1.206,,0,hosted
35,31,0.913,0.6446,0.8238,8.1599,0.913,0.6575,0.8529,9.025,0.0,0.0129,0.0291,0.8652,,0,hosted
36,31,1.0,0.6794,0.8819,17.3537,0.913,0.6667,0.8338,20.9155,-0.087,-0.0127,-0.0481,3.5618,gain_familiarity,1,hosted
40,31,0.9565,0.6743,0.8547,17.9885,0.913,0.6498,0.8724,21.7909,-0.0435,-0.0245,0.0176,3.8024,gain_familiarity,1,hosted
67,31,0.9565,0.665,0.8486,17.5892,0.913,0.6815,0.8627,15.7763,-0.0435,0.0164,0.0141,-1.8129,,0,hosted
76,31,1.0,0.6447,0.8665,21.4561,1.0,0.7024,0.8431,16.8224,0.0,0.0576,-0.0233,-4.6337,loss_familiarity,1,hosted
86,31,0.9565,0.7053,0.8572,23.1679,0.9565,0.6396,0.8381,18.4292,0.0,-0.0657,-0.0191,-4.7387,loss_familiarity,1,hosted
88,31,0.9565,0.6558,0.8313,20.1124,0.913,0.693,0.8578,19.8618,-0.0435,0.0372,0.0265,-0.2506,,0,hosted
90,31,1.0,0.6375,0.8509,19.135,0.9565,0.6196,0.8362,16.4747,-0.0435,-0.0179,-0.0147,-2.6603,loss_familiarity,1,hosted
91,31,0.913,0.6171,0.8133,15.8834,0.913,0.7288,0.8766,18.4231,0.0,0.1117,0.0633,2.5397,gain_stability|gain_familiarity,2,hosted
94,31,0.3913,0.6686,0.8088,2.4349,0.4783,0.6684,0.7784,6.4912,0.087,-0.0001,-0.0304,4.0562,gain_familiarity,1,hosted
95,31,0.8696,0.6971,0.8746,16.5073,0.913,0.6644,0.8364,18.2793,0.0435,-0.0327,-0.0382,1.772,,0,hosted
98,31,0.5217,0.6513,0.8859,19.9034,0.5652,0.6729,0.8174,15.5495,0.0435,0.0217,-0.0686,-4.3538,loss_familiarity,1,hosted
99,31,0.5217,0.6687,0.8744,14.7824,0.6957,0.6948,0.8608,26.6674,0.1739,0.0261,-0.0136,11.885,gain_social|gain_familiarity,2,hosted
11,32,0.8696,0.6876,0.8525,30.7503,0.9167,0.6532,0.8394,29.974,0.0471,-0.0344,-0.0131,-0.7763,,0,hosted
21,32,0.6957,0.6876,0.8212,7.0075,0.625,0.6665,0.8218,8.6709,-0.0707,-0.0212,0.0005,1.6634,,0,hosted
22,32,1.0,0.6464,0.8523,12.1107,0.9167,0.679,0.8566,15.5146,-0.0833,0.0326,0.0043,3.404,gain_familiarity,1,hosted
25,32,0.8696,0.6053,0.8199,15.2805,0.9167,0.667,0.8688,14.5202,0.0471,0.0617,0.0489,-0.7603,,0,hosted
35,32,0.913,0.6575,0.8529,9.025,0.9167,0.6625,0.8256,7.0146,0.0036,0.0049,-0.0273,-2.0104,loss_familiarity,1,hosted
36,32,0.913,0.6667,0.8338,20.9155,0.875,0.6391,0.8638,19.2066,-0.038,-0.0276,0.0299,-1.7089,,0,hosted
40,32,0.913,0.6498,0.8724,21.7909,0.9583,0.6847,0.842,15.3011,0.0453,0.0349,-0.0304,-6.4898,loss_familiarity,1,hosted
67,32,0.913,0.6815,0.8627,15.7763,0.9583,0.7343,0.855,19.8606,0.0453,0.0529,-0.0077,4.0843,gain_familiarity,1,hosted
76,32,1.0,0.7024,0.8431,16.8224,1.0,0.6633,0.861,15.8988,0.0,-0.039,0.0179,-0.9236,,0,hosted
86,32,0.9565,0.6396,0.8381,18.4292,0.9583,0.716,0.8644,15.9753,0.0018,0.0764,0.0263,-2.4539,loss_familiarity,1,hosted
88,32,0.913,0.693,0.8578,19.8618,0.9583,0.6635,0.8777,25.6522,0.0453,-0.0295,0.0199,5.7904,gain_familiarity,1,hosted
90,32,0.9565,0.6196,0.8362,16.4747,0.9167,0.6555,0.8442,12.2984,-0.0399,0.0359,0.0081,-4.1762,loss_familiarity,1,hosted
91,32,0.913,0.7288,0.8766,18.4231,0.9167,0.5923,0.8341,10.7102,0.0036,-0.1364,-0.0424,-7.7129,loss_stability|loss_familiarity,2,hosted
95,32,0.913,0.6644,0.8364,18.2793,0.9583,0.6712,0.8642,16.1163,0.0453,0.0068,0.0278,-2.163,loss_familiarity,1,hosted
