window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
70,4929,2938,2,5,1,1.8886,2,169.0,5,2923,4.43,0.9671,3038.0,15,1.0,14,2,2,345,0.014954,0.1188,161.2903,29,12.5,0.0666,0.0184,2,2,0,0,0.138614,0.015625,15,0.8873,5.15,0.5085
71,4925,3019,0,0,1,1.8817,2,160.8,5,3014,4.45,0.9943,3036.2,5,1.0,13,0,1,297,0.016717,0.125,53.1915,30,14.4,0.072,0.0252,0,0,0,0,0.125,0.015625,13,0.875,5.2021,0.5081
72,4923,3082,0,0,0,1.8911,1,168.5,3082,0,4.51,1.0136,3040.5,0,1.0,12,0,1,293,0.018216,0.1383,0.0,31,15.2,0.0798,0.0247,0,1,0,0,0.180851,0.015625,12,0.9136,5.3544,0.5087
73,4921,2991,1,5,0,1.9336,1,169.1,2,2984,4.4,0.9852,3035.8,7,1.0,13,3,2,288,0.017676,0.1558,78.9474,32,14.6,0.0791,0.0333,1,0,0,0,0.155844,0.015625,12,0.8997,5.4843,0.5064
74,4921,3045,0,0,3,1.9984,1,169.8,3037,0,4.46,1.0027,3036.7,8,1.0,13,3,3,295,0.016248,0.1149,100.0,33,13.4,0.0747,0.0257,0,1,0,0,0.114943,0.015625,14,0.8641,5.5992,0.505
75,4919,3042,0,0,3,1.9656,1,172.9,3030,0,4.44,1.0016,3037.2,12,1.0,15,4,2,280,0.017302,0.1368,131.8681,34,12.5,0.0747,0.031,0,0,0,0,0.210526,0.015625,14,0.9258,5.8097,0.5036
76,4918,2971,1,3,1,1.9968,1,169.7,6,2965,4.45,0.9802,3030.9,6,1.0,15,2,2,295,0.016088,0.12,72.4638,35,12.6,0.0711,0.0229,0,1,0,0,0.146667,0.015625,15,0.8935,5.8897,0.5032
77,4918,3094,0,0,1,1.9841,1,165.7,3090,0,4.57,1.0188,3036.9,4,1.0,14,1,2,275,0.01759,0.1605,39.4737,36,14.3,0.0754,0.0329,0,0,0,0,0.197531,0.015625,14,0.9209,6.0873,0.5037
78,4916,2955,0,0,0,1.9785,1,176.2,3,2952,4.4,0.9755,3029.1,3,1.0,13,0,1,256,0.019594,0.1408,44.1176,37,16.2,0.0829,0.0255,0,0,0,0,0.183099,0.015625,12,0.9147,6.2704,0.5055
79,4915,2911,1,4,0,1.9853,1,169.3,7,2906,4.37,0.9652,3018.0,5,1.0,12,1,2,261,0.020651,0.1282,52.6316,38,17.8,0.0897,0.0341,0,0,0,0,0.230769,0.015625,12,0.9323,6.5011,0.5066
80,4915,3001,1,4,1,1.966,1,172.1,4,2997,4.45,0.9949,3016.4,4,1.0,11,1,2,268,0.020467,0.1163,48.1928,39,19.7,0.0879,0.0194,0,0,0,0,0.209302,0.015625,12,0.9253,6.7104,0.5068
81,4914,3063,0,0,1,1.9329,2,162.6,3063,0,4.51,1.0139,3020.9,0,1.0,10,0,1,249,0.022086,0.1316,0.0,38,18.8,0.0954,0.0236,0,1,0,0,0.131579,0.015625,10,0.8812,6.8025,0.5067
82,4913,3055,1,5,1,1.9329,1,174.7,3045,0,4.56,1.0102,3024.1,10,1.0,13,6,3,284,0.017399,0.125,118.4211,39,14.3,0.0875,0.0273,1,1,0,0,0.125,0.015625,13,0.875,6.9025,0.5058
83,4913,3030,2,4,1,1.9027,1,170.2,3022,0,4.43,1.0018,3024.7,8,1.0,12,2,3,290,0.016312,0.1529,101.2658,33,12.9,0.0824,0.0337,0,1,0,0,0.152941,0.015625,14,0.8978,6.9849,0.5045
84,4912,3025,2,3,3,1.948,2,170.0,3017,0,4.45,1.0001,3024.7,8,1.0,14,5,3,281,0.016599,0.1047,101.2658,34,11.6,0.0681,0.0192,0,0,0,0,0.104651,0.015625,16,0.8507,7.0663,0.502
85,4912,2995,0,0,3,1.9749,2,175.0,6,2984,4.41,0.9911,3021.9,11,1.0,13,3,4,278,0.017044,0.1039,161.7647,35,11.2,0.0758,0.022,0,1,0,0,0.103896,0.015625,16,0.8496,7.1182,0.4996
86,4912,3089,1,3,3,1.9803,1,167.6,3075,0,4.58,1.0201,3028.3,14,1.0,16,3,0,247,0.018057,0.1446,186.6667,36,9.9,0.0703,0.0249,0,0,0,0,0.180723,0.015625,15,0.9135,7.299,0.4981
87,4912,2980,0,0,3,1.9899,1,175.5,10,2970,4.44,0.9856,3023.7,10,1.0,11,0,5,217,0.019726,0.1486,156.25,17,5.5,0.1081,0.0342,0,3,0,0,0.148649,0.015625,12,0.8949,7.4206,0.4949
88,4912,3062,1,5,3,1.9839,1,170.9,3051,0,4.54,1.0115,3027.3,11,1.0,10,1,2,196,0.025281,0.16,161.7647,18,6.7,0.1267,0.0363,1,0,0,0,0.2,0.015625,11,0.9219,7.6206,0.4927
89,4910,3067,1,3,3,1.9887,1,172.5,3056,0,4.47,1.0118,3031.1,11,1.0,8,1,3,197,0.026157,0.197,180.3279,19,7.9,0.1174,0.0421,0,0,0,0,0.19697,0.015625,10,0.9207,7.8176,0.4903
90,4909,3057,2,5,3,1.9902,2,171.7,3039,0,4.46,1.0077,3033.6,18,1.0,10,4,2,226,0.02457,0.1613,271.1864,20,7.1,0.1097,0.0364,1,0,0,0,0.209677,0.015625,10,0.9255,7.9627,0.4889
91,4906,3048,0,0,3,1.9827,2,168.9,3042,0,4.47,1.0043,3034.9,6,1.0,10,3,3,225,0.020821,0.1579,84.507,21,7.4,0.0921,0.0379,0,0,0,0,0.171053,0.015625,11,0.9087,8.1206,0.4886
92,4906,2920,0,0,3,1.9784,1,175.4,3,2917,4.38,0.9656,3024.0,3,1.0,8,0,2,176,0.026007,0.16,61.2245,19,7.5,0.1133,0.0211,0,2,0,0,0.26,0.015625,7,0.9399,8.2406,0.4878
