seed,window,rate,pct_none,pct_small,pct_large,H2,H3,dH,J2,J3
999,9,0.0,78.6,21.4,14.3,1.4838,1.4838,0.0,0.6167,0.6167
999,10,0.0,57.9,42.1,0.0,1.871,1.871,0.0,1.0926,1.0926
999,11,0.0,88.5,11.5,0.0,1.1161,1.1161,0.0,0.4452,0.4452
999,12,0.0,93.8,6.2,0.0,0.3373,0.3373,0.0,-0.1663,-0.1663
999,13,0.0,76.5,23.5,0.0,1.574,1.574,0.0,0.8664,0.8664
999,14,0.0,95.7,4.3,0.0,0.5132,0.5132,0.0,-0.1051,-0.1051
999,15,0.0,94.1,5.9,0.0,0.6402,0.6402,0.0,-0.1314,-0.1314
999,16,0.0,94.4,5.6,5.6,0.3095,0.3095,0.0,-0.3092,-0.3092
999,17,0.0,90.5,9.5,9.5,0.9882,0.9882,0.0,0.1018,0.1018
999,18,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1799,-0.1799
999,19,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
999,20,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
999,21,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
999,22,0.0,80.0,20.0,0.0,1.3568,1.3568,0.0,0.6071,0.6071
999,23,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0887,-0.0887
999,24,0.0,83.3,16.7,0.0,1.4047,1.4047,0.0,0.6806,0.6806
999,25,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0631,-0.0631
1337,1,0.0,86.1,13.9,9.6,1.1798,1.1798,0.0,0.0188,0.0188
1337,2,0.0,91.1,8.9,0.0,0.905,0.905,0.0,-0.1737,-0.1737
1337,3,0.0,97.1,2.9,0.0,0.3816,0.3816,0.0,-0.4344,-0.4344
1337,4,0.0,70.0,30.0,10.0,1.7828,1.7828,0.0,1.0754,1.0754
1337,5,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,0.0579,0.0579
1337,6,0.0,95.7,4.3,0.0,0.5132,0.5132,0.0,-0.2749,-0.2749
1337,7,0.0,87.0,13.0,0.0,0.9665,0.9665,0.0,0.1258,0.1258
1337,8,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1561,-0.1561
1337,9,0.0,60.0,40.0,5.0,1.9406,1.9406,0.0,1.445,1.445
1337,10,0.0,86.7,13.3,0.0,0.9056,0.9056,0.0,0.3461,0.3461
1337,11,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1713,-0.1713
1337,12,0.0,93.3,6.7,0.0,0.6998,0.6998,0.0,-0.0354,-0.0354
1337,13,0.0,63.2,36.8,0.0,1.5683,1.5683,0.0,1.1491,1.1491
