window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
159,4833,2938,1,0,1,5,1.0,1,0,0,0,0,0,0,0,3,1.9147,-0.0391,2,47.3
160,4832,2937,1,0,1,5,0.9,1,0,0,0,0,0,0,0,3,1.9728,0.058,2,46.8
161,4832,2944,2,0,2,5,2.0,2,0,0,0,0,0,0,0,3,1.9884,0.0157,2,46.0
162,4830,2882,1,0,1,5,1.6,1,0,0,0,0,0,0,0,3,1.998,0.0096,2,48.3
163,4829,2898,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9864,-0.0116,2,46.9
164,4829,2987,2,0,2,5,1.6,1,0,0,0,0,0,0,0,1,1.9035,-0.0829,1,46.8
165,4827,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9406,0.0371,1,45.8
166,4824,2963,4,0,4,5,1.2,1,0,0,0,0,0,0,0,3,1.9121,-0.0285,1,46.8
167,4818,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8766,-0.0355,1,47.0
168,4817,2993,2,0,2,5,0.8,1,0,0,0,0,0,0,0,3,1.8316,-0.045,1,46.4
169,4816,2878,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8944,0.0628,1,47.0
170,4816,2831,1,0,1,5,1.0667,2,0,0,0,0,0,0,0,1,1.916,0.0216,1,44.8
171,4813,2965,2,0,2,5,1.2,1,0,0,0,0,0,0,0,2,1.8937,-0.0224,1,47.1
172,4812,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9127,0.0191,2,46.6
173,4808,2805,1,0,1,4,1.3333,1,0,0,0,0,0,0,0,1,1.8736,-0.0392,1,47.0
174,4807,2862,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7899,-0.0836,1,45.8
175,4807,2983,1,0,1,3,0.4,1,0,0,0,0,0,0,0,3,1.7474,-0.0425,1,47.9
176,4805,2901,1,0,1,5,0.1778,1,0,0,0,0,0,0,0,3,1.6087,-0.1387,1,46.8
177,4805,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8875,0.2788,2,46.1
178,4803,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9725,0.085,1,46.8
179,4802,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9841,0.0116,1,45.1
180,4802,2957,2,0,2,5,1.6,1,0,0,0,0,0,0,0,3,1.9822,-0.0019,1,48.1
181,4802,2937,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9585,-0.0238,1,45.8
182,4801,2993,2,0,2,5,0.5143,1,0,0,0,0,0,0,0,3,1.9494,-0.0091,1,47.3
183,4800,2984,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,1,1.9575,0.0081,1,46.6
184,4799,2961,2,0,2,5,0.4,1,0,0,0,0,0,0,0,3,1.9837,0.0261,2,45.7
185,4799,3023,3,0,3,5,1.5,2,0,0,0,0,0,0,0,1,1.9801,-0.0035,2,46.6
186,4798,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9344,-0.0457,2,45.5
187,4798,2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8861,-0.0483,1,46.1
188,4798,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0139,1,46.6
189,4798,2840,1,0,1,5,2.0,1,0,0,0,0,0,0,0,1,1.9855,0.0855,1,46.7
190,4796,3023,2,0,2,4,0.6429,1,0,0,0,0,0,0,0,1,1.8352,-0.1502,1,46.4
191,4794,2919,1,0,1,3,0.0,2,0,0,0,0,0,0,0,1,1.944,0.1088,2,47.7
192,4794,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9247,-0.0193,2,46.0
193,4794,2946,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.9121,-0.0126,1,46.0
194,4793,2894,1,0,1,4,0.3333,1,0,0,0,0,0,0,0,3,1.9749,0.0628,1,46.3
195,4793,2847,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,3,1.9215,-0.0533,2,46.3
196,4789,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9174,-0.0042,2,46.1
197,4789,2916,1,0,1,4,2.0,1,0,0,0,0,0,0,0,3,1.9347,0.0174,1,46.5
198,4787,2915,1,0,1,4,0.8,1,0,0,0,0,0,0,0,3,1.9261,-0.0086,1,46.8
199,4784,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8727,-0.0535,2,46.0
200,4783,2959,3,0,3,5,1.0667,1,0,0,0,0,0,0,0,1,1.9363,0.0636,1,47.6
