window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
30,4996,3244,0,0,0,1.9957,1,16.7,3266,0,4.66,1.0185,3210.6,4,1.0,65,0,5,954,0.002038,0.0393,13.289,29,20.8,0.0211,0.0086,0,0,0,0,0.07541,0.015625,42,0.7928,1.2774,0.3614,25,8,32,760,1311,545,1.0,0.0,0,0
31,4994,3081,0,0,0,1.9988,1,16.6,0,3081,4.49,0.9633,3198.3,0,1.0,63,0,2,945,0.001777,0.0478,0.0,30,22.3,0.0224,0.0092,0,0,0,0,0.068259,0.015625,41,0.7711,1.3422,0.3654,25,7,31,772,1265,523,1.0,0.0,0,0
32,4992,3157,2,9,1,1.9764,1,16.8,1,3152,4.56,0.9883,3194.4,5,1.0,62,3,4,976,0.00211,0.064,13.7931,31,22.6,0.0211,0.01,0,0,0,0,0.070707,0.015625,41,0.779,1.386,0.3671,24,6,32,821,1221,521,1.0,0.0,0,0
33,4989,3153,2,4,1,1.9664,1,16.7,6,3142,4.51,0.9883,3190.4,11,1.0,61,6,7,971,0.002344,0.0575,33.7838,32,21.6,0.0204,0.0102,0,0,0,0,0.057508,0.015625,43,0.7283,1.4435,0.3681,23,5,33,805,1252,515,1.0,0.0,0,0
34,4986,3199,2,3,3,1.899,2,16.7,3185,0,4.64,1.0033,3191.5,17,1.0,64,6,3,992,0.002024,0.0464,56.2914,33,21.0,0.0193,0.0088,0,0,0,0,0.077399,0.015625,42,0.7981,1.5209,0.3709,22,7,35,789,1330,518,1.0,0.0,0,0
35,4983,3207,3,5,3,1.8842,2,16.8,3183,0,4.56,1.0064,3193.7,31,1.0,67,7,4,1037,0.001914,0.0512,97.1787,34,20.8,0.0176,0.0081,3,0,0,0,0.057229,0.015625,45,0.727,1.5541,0.3696,21,7,39,760,1325,513,1.0,0.0,0,0
36,4983,3173,0,0,3,1.9138,2,16.9,4,3162,4.57,0.9941,3191.7,11,1.0,67,3,3,1036,0.001826,0.0287,30.303,35,21.8,0.0168,0.0073,0,0,0,0,0.060172,0.015625,45,0.7403,1.5999,0.3697,21,8,38,795,1272,539,1.0,0.0,0,0
37,4981,3206,2,5,3,1.9566,1,16.8,3190,0,4.56,1.0052,3193.4,20,1.0,67,8,8,1078,0.00186,0.0389,60.241,36,22.6,0.0186,0.0079,2,0,0,0,0.080556,0.015625,46,0.806,1.6555,0.3705,22,7,38,817,1271,534,1.0,0.0,0,0
38,4980,3142,1,5,3,1.9078,1,22.5,13,3125,4.6,0.9857,3188.6,17,1.0,65,1,3,1067,0.00181,0.0313,51.7799,37,24.2,0.0179,0.0066,1,0,0,0,0.068966,0.015625,43,0.7734,1.7056,0.3707,22,7,36,818,1242,507,1.0,0.0,0,0
39,4979,3230,3,4,3,1.9434,2,24.1,3243,0,4.63,1.0205,3195.5,18,1.0,64,4,5,1087,0.001909,0.0357,45.4545,38,24.2,0.0173,0.0073,0,0,0,0,0.06044,0.015625,42,0.7415,1.7661,0.3719,22,6,36,822,1282,549,1.0,0.0,0,0
40,4977,3173,1,5,1,1.9358,2,17.9,13,3155,4.58,0.9936,3193.4,18,1.0,70,10,4,1133,0.001697,0.0403,51.8293,39,23.0,0.0183,0.0079,1,0,0,0,0.07781,0.015625,42,0.7992,1.8439,0.3736,27,7,36,784,1264,558,1.0,0.0,0,0
41,4975,3039,2,3,3,1.9696,2,16.6,7,3024,4.51,0.9561,3178.7,15,1.0,68,5,7,1159,0.001591,0.0321,16.7593,40,24.0,0.0183,0.0064,0,1,0,0,0.052478,0.015625,43,0.7023,1.8905,0.3747,26,7,35,737,1245,483,1.0,0.0,0,0
